a_proc_loc,a_code,a_country,a_fdiv,a_fdiv_code,a_county,a_city,a_district,p_postal_code,p_lat,p_lng,here_query_score,here_field_score,is_valid,a_lat,a_lng
el bar de abajo,MEX,México,Guanajuato,Gto,,San José Iturbide,El Arenal de Abajo,,,,0.83,{'district': 0.67},[],,
periodista editor de prensa,MEX,México,Ciudad de México,CMX,,Miguel Hidalgo,Periodista,,,,0.42,{'district': 1.0},[],,
isla chachi,PRY,Paraguay,,,,Guayaibí,Chachi,,,,0.6,{'district': 1.0},[],,
sky mexico,USA,Estados Unidos,Nuevo México,NM,,Logan,,,,,0.89,"{'state': 0.55, 'streets': [0.9]}",[],,
ensayando murder worker,LBR,Liberia,,,,Upper Worker,,,,,0.33,{'city': 0.59},[],,
intene,IDN,Indonesia,,,,Yogyakarta,Umbulharjo,,,,0.83,{'streets': [0.6]},[],,
republica de la boca argentina,ESP,España,Cataluña,CT,,Barcelona,,,,,0.85,{'streets': [0.9]},[],,
cadi norte,COL,Colombia,,,,Cali,,,,,0.99,{'streets': [0.6]},[],,
la espain,ARG,Argentina,Santa Fe,SF,,Vera,Espín,,,,0.62,{'district': 0.99},[],,
teatro angela peralta cdmx,MEX,México,Querétaro,Qro,,Santiago de Querétaro,Querétaro Centro,,,,0.83,"{'streets': [0.9], 'placeName': 0.5}",[],,
los muros,ESP,España,Aragón,AR,,Añón de Moncayo,,,,,1.0,{'streets': [0.9]},[],,
underground bunker,USA,Estados Unidos,Virginia Occidental,WV,,Bunker Hill,Bunker Hill,,,,0.96,"{'city': 0.6, 'placeName': 0.4}",[],,
la almunia,CHL,Chile,Región Metropolitana de Santiago,RM,,Quilicura,Quilicura,,,,1.0,{'streets': [0.9]},[],,
regulus,NLD,Holanda,Brabante Septentrional,NB,,Veldhoven,,,,,1.0,{'streets': [1.0]},[],,
mipais,PRT,Portugal,,,,Lamego,Lamego,,,,0.66,{'streets': [0.83]},[],,
la nadea,COL,Colombia,,,,Victoria,La Nada,,,,0.86,{'district': 0.99},[],,
television,MEX,México,Baja California,BC,,Tijuana,,,,,1.0,{'streets': [0.9]},[],,
venezuela maracucho,PER,Perú,Ayacucho,,,Ayacucho,,,,,0.83,"{'city': 0.7, 'streets': [0.9]}",[],,
chile al,BRA,Brasil,Sao Paulo,SP,,Barueri,Alphaville,,,,1.0,{'streets': [1.0]},[],,
el futuro la izquierda,COL,Colombia,,,,Pereira,El Futuro,,,,0.42,{'district': 1.0},[],,
jumilda,ESP,España,Comunidad Valenciana,VC,,Pinoso,,,,,0.71,{'streets': [0.79]},[],,
la riojita,PER,Perú,Junín,,,El Tambo,,,,,0.78,{'streets': [0.68]},[],,
tabakalera,ESP,España,Comunidad Valenciana,VC,,Albal,,,,,0.8,{'streets': [0.78]},[],,
